timestamp,action,amount,capital_after
2025-01-28 16:00:00,OPEN_POSITION,-600.9,9399.1
2025-01-28 20:00:00,FUNDING_FEE,-0.17596186299280164,9398.924038137007
2025-01-28 20:00:00,CLOSE_POSITION,639.5015607570197,10038.425598894028
2025-01-28 20:00:00,OPEN_POSITION,-603.2089942375422,9435.216604656485
2025-01-29 00:00:00,FUNDING_FEE,-0.1838132731722739,9435.032791383313
2025-01-29 04:00:00,FUNDING_FEE,-0.18537231707307353,9434.84741906624
2025-01-29 04:00:00,CLOSE_POSITION,648.1852372780861,10083.032656344327
2025-01-29 04:00:00,OPEN_POSITION,-605.8894323197306,9477.143224024596
2025-01-29 08:00:00,FUNDING_FEE,-0.18022869694014684,9476.962995327656
2025-01-29 12:00:00,FUNDING_FEE,-0.17827665985403632,9476.784718667803
2025-01-29 12:00:00,CLOSE_POSITION,636.2698556830054,10113.054574350808
2025-01-29 12:00:00,OPEN_POSITION,-607.69344937274,9505.361124978068
2025-01-29 20:00:00,FUNDING_FEE,-0.18279020943291782,9505.178334768634
2025-01-30 04:00:00,FUNDING_FEE,-0.1873115884386335,9504.991023180195
2025-01-30 08:00:00,FUNDING_FEE,-0.1891685309527357,9504.801854649242
2025-01-30 16:00:00,FUNDING_FEE,-0.19204086043928661,9504.609813788802
2025-01-30 16:00:00,CLOSE_POSITION,705.8818511685726,10210.491664957375
2025-01-30 16:00:00,OPEN_POSITION,-613.5484441472887,9596.943220810086
2025-01-30 20:00:00,FUNDING_FEE,-0.18242816715273186,9596.760792642934
2025-01-31 04:00:00,FUNDING_FEE,-0.18209825355781817,9596.578694389376
2025-01-31 04:00:00,CLOSE_POSITION,628.6249727437996,10225.203667133175
2025-01-31 04:00:00,OPEN_POSITION,-614.4324883580324,9610.771178775143
2025-01-31 08:00:00,FUNDING_FEE,-0.1894065766494705,9610.581772198493
2025-01-31 12:00:00,FUNDING_FEE,-0.1946322399188363,9610.387139958575
2025-01-31 12:00:00,CLOSE_POSITION,718.3247979327878,10328.711937891363
2025-01-31 12:00:00,OPEN_POSITION,-620.6523003478919,9708.05963754347
2025-01-31 16:00:00,FUNDING_FEE,-0.18109228164819066,9707.878545261823
2025-02-01 04:00:00,FUNDING_FEE,-0.1779281996229289,9707.7006170622
2025-02-01 12:00:00,FUNDING_FEE,-0.17632255415684256,9707.524294508044
2025-02-01 16:00:00,FUNDING_FEE,-0.17338040825717368,9707.350914099787
2025-02-01 20:00:00,FUNDING_FEE,-0.1690957929816692,9707.181818306804
2025-02-02 00:00:00,FUNDING_FEE,-0.16693937693495509,9707.01487892987
2025-02-02 00:00:00,CLOSE_POSITION,808.6623988597017,10515.677277789571
2025-02-02 00:00:00,OPEN_POSITION,-631.8870476223753,9883.790230167197
2025-02-02 04:00:00,FUNDING_FEE,-0.1907218893793355,9883.599508277817
2025-02-02 04:00:00,CLOSE_POSITION,644.3840110117097,10527.983519289526
2025-02-02 04:00:00,OPEN_POSITION,-632.6265296741077,9895.356989615419
2025-02-02 08:00:00,FUNDING_FEE,-0.187279088276691,9895.169710527141
2025-02-02 08:00:00,CLOSE_POSITION,652.9887664211932,10548.158476948334
2025-02-02 08:00:00,OPEN_POSITION,-633.8388428798255,9914.319634068508
2025-02-02 12:00:00,FUNDING_FEE,-0.1908578696841418,9914.128776198824
2025-02-02 12:00:00,CLOSE_POSITION,641.845390259197,10555.974166458022
2025-02-02 12:00:00,OPEN_POSITION,-634.3084876624625,9921.665678795558
2025-02-02 16:00:00,FUNDING_FEE,-0.18249726795124238,9921.483181527607
2025-02-02 20:00:00,FUNDING_FEE,-0.17696205552430241,9921.306219472082
2025-02-03 00:00:00,FUNDING_FEE,-0.15581582876072123,9921.150403643322
2025-02-03 00:00:00,CLOSE_POSITION,974.4964331989092,10895.64683684223
2025-02-03 00:00:00,OPEN_POSITION,-654.7194184258497,10240.92741841638
2025-02-03 04:00:00,FUNDING_FEE,-0.20341719142688025,10240.724001224953
2025-02-03 04:00:00,CLOSE_POSITION,725.6772078906005,10966.401209115553
2025-02-03 04:00:00,OPEN_POSITION,-658.9710486557535,10307.430160459799
