trade_id,entry_time,exit_time,entry_price,exit_price,position_size,position_type,pnl,gross_pnl,commission,funding,prediction,actual,probability,liquidated,margin_used,unrealized_pnl,margin_loss_pct
1,2025-01-28 16:00:00,2025-01-28 20:00:00,3146.55,3075.96,-0.5720551079754016,Short,39.501560757019675,40.38137007198368,0.8798093149640082,0.17596186299280164,1.0,1.0,0.6648921105871284,False,600.0,40.38137007198368,0
2,2025-01-28 20:00:00,2025-01-29 04:00:00,3075.96,3155.64,0.5874317636773317,Long,45.87970134444433,46.806562929809694,0.9268615853653676,0.18537231707307353,0.0,0.0,0.2587844385060494,False,602.3055359336417,46.806562929809694,0
3,2025-01-29 04:00:00,2025-01-29 12:00:00,3155.64,3099.69,-0.5751435138805374,Short,31.287896302345786,32.17927960161597,0.8913832992701816,0.17827665985403632,1.0,1.0,0.6115338923804201,False,604.9819593806596,32.17927960161597,0
4,2025-01-29 12:00:00,2025-01-30 16:00:00,3099.69,3270.07,0.587268347280904,Long,99.09857670752406,100.05878100972049,0.960204302196433,0.19204086043928661,0.0,0.0,0.07190318401729377,False,606.7832744610484,100.05878100972049,0
5,2025-01-30 16:00:00,2025-01-31 04:00:00,3270.07,3239.99,-0.5620333814543198,Short,15.995472846357064,16.905964114146155,0.9104912677890908,0.18209825355781817,1.0,1.0,0.678908950925972,False,612.6294998974425,16.905964114146155,0
6,2025-01-31 04:00:00,2025-01-31 12:00:00,3239.99,3426.21,0.5680686236945087,Long,104.81257790479737,105.78573910439155,0.9731611995941815,0.1946322399188363,0.0,0.0,0.17002119494505108,False,613.5122200279905,105.78573910439155,0
7,2025-01-31 12:00:00,2025-02-02 00:00:00,3426.21,3076.48,-0.5426311139190083,Short,188.93968258622002,189.7743794708948,0.8346968846747753,0.16693937693495509,1.0,1.0,0.7683357121635328,False,619.7227162734818,189.7743794708948,0
8,2025-02-02 00:00:00,2025-02-02 04:00:00,3076.48,3099.88,0.6152557175740206,Long,13.443374344335462,14.39698379123214,0.9536094468966776,0.1907218893793355,0.0,0.0,0.2530388528269831,False,630.9406366673743,14.39698379123214,0
9,2025-02-02 04:00:00,2025-02-02 08:00:00,3099.88,3063.49,-0.6113259330916406,Short,21.30975526382155,22.246150705205004,0.9363954413834551,0.187279088276691,1.0,1.0,0.6959698242639694,False,631.6790111573716,22.246150705205004,0
10,2025-02-02 08:00:00,2025-02-02 12:00:00,3063.49,3079.48,0.6197730450730051,Long,8.95588164229679,9.910170990717498,0.954289348420709,0.1908578696841418,0.0,0.0,0.2333265564968845,False,632.8895086169001,9.910170990717498,0
11,2025-02-02 12:00:00,2025-02-03 00:00:00,3079.48,2525.33,-0.6170117519719056,Short,341.137983211428,341.91706235523156,0.7790791438036062,0.15581582876072123,1.0,1.0,0.7757977090188223,False,633.3584499874813,341.91706235523156,0
12,2025-02-03 00:00:00,2025-02-03 04:00:00,2525.33,2619.27,0.7766178798935591,Long,71.93839768006659,72.95548363720098,1.0170859571344013,0.20341719142688025,0.0,0.0,0.2972986512575395,False,653.7388102105339,72.95548363720098,0
13,2025-02-03 04:00:00,2025-02-03 08:00:00,2619.27,2579.43,-0.7536268569642685,Short,29.052530119626894,30.024493981456565,0.9719638618296714,0.19439277236593427,1.0,1.0,0.917396140717155,False,657.9840725469331,30.024493981456565,0
14,2025-02-03 08:00:00,2025-02-03 20:00:00,2579.43,2878.69,0.7672117586690543,Long,228.49150849051986,229.59579089930136,1.10428240878151,0.22085648175630201,0.0,0.0,0.2531987902700414,False,659.6563422212396,229.59579089930136,0
15,2025-02-03 20:00:00,2025-02-04 04:00:00,2878.69,2702.36,-0.7016400589481134,Short,122.77214957947129,123.7201915943208,0.9480420148495119,0.1896084029699024,1.0,1.0,0.850181916192991,False,673.2680737644482,123.7201915943208,0
16,2025-02-04 04:00:00,2025-02-04 16:00:00,2702.36,2768.85,0.7555069697213319,Long,49.18771568021474,50.23365841677119,1.045942736556455,0.209188547311291,0.0,0.0,0.3860907478790046,False,680.5506048987129,50.23365841677119,0
17,2025-02-04 16:00:00,2025-02-05 00:00:00,2768.85,2718.95,-0.740468681513197,Short,35.94273854670845,36.9493872075086,1.0066486608001535,0.2013297321600307,1.0,1.0,0.7321850587919057,False,683.4155696026053,36.9493872075086,0
18,2025-02-05 00:00:00,2025-02-05 08:00:00,2718.95,2798.58,0.7563565494733784,Long,59.1703098784526,60.2286720345652,1.0583621561126035,0.21167243122252072,0.0,0.0,0.3663557026921887,False,685.498546730214,60.2286720345652,0
19,2025-02-05 08:00:00,2025-02-05 20:00:00,2798.58,2787.0,-0.7385479634116351,Short,7.523218829292567,8.55238541630668,1.0291665870141136,0.2058333174028227,1.0,1.0,0.6849475271222569,False,688.9618531481779,8.55238541630668,0
20,2025-02-05 20:00:00,2025-02-06 04:00:00,2787.0,2830.41,0.7420224862347771,Long,31.161082194819677,32.211196127451565,1.0501139326318876,0.21002278652637751,0.0,0.0,0.3375917262466532,False,689.3388897121079,32.211196127451565,0
21,2025-02-06 04:00:00,2025-02-06 20:00:00,2830.41,2685.25,-0.732531425250644,Short,105.35074668455623,106.33426168938337,0.9835150048271458,0.19670300096542917,1.0,1.0,0.7914466955201807,False,691.1214237812251,106.33426168938337,0
22,2025-02-06 20:00:00,2025-02-07 08:00:00,2685.25,2761.34,0.7790830623359851,Long,58.204773601469796,59.28043021314522,1.0756566116754245,0.21513132233508492,0.0,0.0,0.34156404072568847,False,697.3442643792348,59.28043021314522,0
23,2025-02-07 08:00:00,2025-02-07 20:00:00,2761.34,2620.66,-0.761313209987357,Short,106.10397084257887,107.1015423810216,0.9975715384427334,0.1995143076885467,1.0,1.0,0.8310748180611666,False,700.7482064221629,107.1015423810216,0
24,2025-02-07 20:00:00,2025-02-08 04:00:00,2620.66,2628.33,0.8093550934526071,Long,5.14412743039441,6.207753566781555,1.0636261363871453,0.2127252272774291,0.0,0.0,0.34569309666065023,False,707.0148397358364,6.207753566781555,0
25,2025-02-08 04:00:00,2025-02-08 12:00:00,2628.33,2604.06,-0.8072583266170315,Short,18.541085027990167,19.59215958699534,1.0510745590051733,0.2102149118010347,1.0,1.0,0.8426912962915175,False,707.2470925324474,19.59215958699534,0
