trade_id,entry_time,exit_time,position_type,entry_price,exit_price,pnl,duration
1,2025-05-04 16:35:00,2025-05-04 16:37:00,SHORT,95354.66,95344.0,0.00011179317298182902,0.03333333333333333
2,2025-05-04 16:41:00,2025-05-04 16:42:00,SHORT,95345.48,95333.68,0.00012376045513644602,0.016666666666666666
3,2025-05-04 16:45:00,2025-05-04 16:46:00,SHORT,95367.37,95359.21,8.556385690398028e-05,0.016666666666666666
4,2025-05-04 16:51:00,2025-05-04 16:53:00,SHORT,95335.84,95342.53,-7.017298006712196e-05,0.03333333333333333
5,2025-05-04 16:58:00,2025-05-04 16:59:00,SHORT,95341.57,95341.56,1.048860429853759e-07,0.016666666666666666
6,2025-05-04 17:01:00,2025-05-04 17:02:00,SHORT,95374.45,95374.45,0.0,0.016666666666666666
7,2025-05-04 17:03:00,2025-05-04 17:05:00,SHORT,95399.4,95385.52,0.00014549357752763754,0.03333333333333333
8,2025-05-04 17:06:00,2025-05-04 17:08:00,SHORT,95407.32,95440.0,-0.0003425313697103431,0.03333333333333333
9,2025-05-04 17:10:00,2025-05-04 17:11:00,SHORT,95472.72,95481.62,-9.322034608413984e-05,0.016666666666666666
10,2025-05-04 17:13:00,2025-05-04 17:14:00,SHORT,95464.0,95455.84,8.547724796785691e-05,0.016666666666666666
11,2025-05-04 17:18:00,2025-05-04 17:19:00,SHORT,95411.11,95385.01,0.0002735530484867624,0.016666666666666666
12,2025-05-04 17:36:00,2025-05-04 17:37:00,SHORT,95295.77,95296.78,-1.0598581657871712e-05,0.016666666666666666
13,2025-05-04 17:38:00,2025-05-04 17:41:00,SHORT,95327.45,95400.0,-0.0007610609535868516,0.05
14,2025-05-04 17:48:00,2025-05-04 17:49:00,SHORT,95411.88,95417.12,-5.491978567019837e-05,0.016666666666666666
15,2025-05-04 17:50:00,2025-05-04 17:51:00,SHORT,95439.65,95444.63,-5.217957106936664e-05,0.016666666666666666
16,2025-05-04 17:54:00,2025-05-04 17:55:00,SHORT,95477.59,95477.0,6.179460541437081e-06,0.016666666666666666
17,2025-05-04 18:02:00,2025-05-04 18:03:00,SHORT,95467.6,95476.2,-9.008291818366931e-05,0.016666666666666666
18,2025-05-04 18:09:00,2025-05-04 18:10:00,SHORT,95467.81,95397.7,0.0007343836629330932,0.016666666666666666
19,2025-05-04 18:15:00,2025-05-04 18:17:00,SHORT,95401.59,95453.63,-0.0005454835710810286,0.03333333333333333
20,2025-05-04 18:20:00,2025-05-04 18:22:00,SHORT,95444.0,95483.23,-0.0004110263610074591,0.03333333333333333
21,2025-05-04 18:32:00,2025-05-04 18:34:00,LONG,95490.66,95429.63,-0.0006391200982378678,0.03333333333333333
22,2025-05-04 18:35:00,2025-05-04 18:36:00,SHORT,95418.52,95423.34,-5.0514302674076616e-05,0.016666666666666666
23,2025-05-04 18:41:00,2025-05-04 18:42:00,SHORT,95420.42,95422.31,-1.9807081125815814e-05,0.016666666666666666
24,2025-05-04 18:43:00,2025-05-04 18:44:00,SHORT,95436.07,95436.08,-1.0478218554851756e-07,0.016666666666666666
25,2025-05-04 18:47:00,2025-05-04 18:48:00,SHORT,95430.75,95411.5,0.00020171695182108493,0.016666666666666666
26,2025-05-04 18:52:00,2025-05-04 18:54:00,SHORT,95416.35,95436.07,-0.00020667317498522175,0.03333333333333333
27,2025-05-04 18:55:00,2025-05-04 18:58:00,LONG,95475.96,95406.52,-0.0007273035013211946,0.05
28,2025-05-04 19:01:00,2025-05-04 19:02:00,SHORT,95377.78,95357.62,0.00021136998575562875,0.016666666666666666
29,2025-05-04 19:04:00,2025-05-04 19:06:00,SHORT,95399.99,95422.1,-0.00023176103058292335,0.03333333333333333
30,2025-05-04 19:10:00,2025-05-04 19:11:00,LONG,95447.32,95452.0,4.903228293882966e-05,0.016666666666666666
31,2025-05-04 19:14:00,2025-05-04 19:15:00,LONG,95440.01,95429.36,-0.000111588420830993,0.016666666666666666
32,2025-05-04 19:17:00,2025-05-04 19:18:00,LONG,95420.02,95433.0,0.0001360301538397909,0.016666666666666666
33,2025-05-04 19:38:00,2025-05-04 19:39:00,LONG,95627.51,95627.51,0.0,0.016666666666666666
34,2025-05-04 19:42:00,2025-05-04 19:43:00,LONG,95625.26,95608.4,-0.00017631324610255263,0.016666666666666666
35,2025-05-04 19:44:00,2025-05-04 19:45:00,LONG,95600.0,95624.07,0.00025177824267789734,0.016666666666666666
36,2025-05-04 19:46:00,2025-05-04 19:47:00,LONG,95589.83,95571.45,-0.00019227986910327864,0.016666666666666666
37,2025-05-04 19:50:00,2025-05-04 19:51:00,LONG,95553.6,95543.89,-0.00010161835870136135,0.016666666666666666
38,2025-05-04 19:56:00,2025-05-04 19:57:00,LONG,95552.21,95550.0,-2.3128716750836037e-05,0.016666666666666666
