,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA1,SMA2,buy_signal,sell_signal,position,entry_price,take_profit,stop_loss,trade_result,equity
0,AAPL,2025-03-24 08:00:00+00:00,219.8,219.8,219.3,219.5,7532.0,245.0,219.564697,,,False,False,0,,,,,1000.0
1,AAPL,2025-03-24 08:01:00+00:00,219.73,219.8,219.73,219.8,1691.0,81.0,219.773642,,,False,False,0,,,,,1000.0
2,AAPL,2025-03-24 08:02:00+00:00,219.8,219.8,219.8,219.8,1553.0,119.0,219.8,,,False,False,0,,,,,1000.0
3,AAPL,2025-03-24 08:03:00+00:00,219.77,219.8,219.77,219.8,1013.0,90.0,219.789091,,,False,False,0,,,,,1000.0
4,AAPL,2025-03-24 08:04:00+00:00,219.8,219.92,219.76,219.92,2702.0,89.0,219.830016,,,False,False,0,,,,,1000.0
5,AAPL,2025-03-24 08:05:00+00:00,220.0,220.13,220.0,220.13,6078.0,190.0,220.006046,,,False,False,0,,,,,1000.0
6,AAPL,2025-03-24 08:06:00+00:00,220.12,220.12,220.07,220.08,2212.0,51.0,220.091629,,,False,False,0,,,,,1000.0
7,AAPL,2025-03-24 08:07:00+00:00,220.02,220.12,220.02,220.12,1520.0,27.0,220.083251,,,False,False,0,,,,,1000.0
8,AAPL,2025-03-24 08:08:00+00:00,220.08,220.08,219.99,219.99,1051.0,24.0,220.008764,,,False,False,0,,,,,1000.0
9,AAPL,2025-03-24 08:09:00+00:00,219.94,220.19,219.93,220.19,5040.0,190.0,220.059864,219.933,,False,False,0,,,,,1000.0
10,AAPL,2025-03-24 08:10:00+00:00,220.19,220.23,220.19,220.23,1131.0,24.0,220.21549,220.006,,False,False,0,,,,,1000.0
11,AAPL,2025-03-24 08:11:00+00:00,220.23,220.23,220.18,220.2,1694.0,34.0,220.208681,220.046,,False,False,0,,,,,1000.0
12,AAPL,2025-03-24 08:12:00+00:00,220.14,220.22,220.14,220.22,2125.0,37.0,220.191928,220.08800000000002,,False,False,0,,,,,1000.0
13,AAPL,2025-03-24 08:13:00+00:00,220.35,220.35,220.35,220.35,489.0,21.0,220.35,220.14299999999997,,False,False,0,,,,,1000.0
14,AAPL,2025-03-24 08:14:00+00:00,220.4,220.48,220.4,220.47,3707.0,55.0,220.45683,220.198,,False,False,0,,,,,1000.0
15,AAPL,2025-03-24 08:15:00+00:00,220.45,220.6,220.45,220.46,6507.0,70.0,220.500352,220.231,,False,False,0,,,,,1000.0
16,AAPL,2025-03-24 08:16:00+00:00,220.41,220.41,220.3,220.32,1905.0,57.0,220.354512,220.25500000000002,,False,False,0,,,,,1000.0
17,AAPL,2025-03-24 08:17:00+00:00,220.35,220.35,220.2,220.22,1236.0,31.0,220.246575,220.26500000000001,,False,False,0,,,,,1000.0
18,AAPL,2025-03-24 08:18:00+00:00,220.22,220.22,220.22,220.22,282.0,14.0,220.22,220.288,,False,False,0,,,,,1000.0
19,AAPL,2025-03-24 08:19:00+00:00,220.21,220.3,220.19,220.3,1682.0,33.0,220.254807,220.29899999999998,220.11599999999999,False,False,0,,,,,1000.0
20,AAPL,2025-03-24 08:20:00+00:00,220.28,220.28,220.21,220.21,1647.0,47.0,220.23681,220.29700000000003,220.1515,False,False,0,,,,,1000.0
21,AAPL,2025-03-24 08:21:00+00:00,220.2,220.2,220.2,220.2,509.0,24.0,220.2,220.29700000000003,220.1715,False,False,0,,,,,1000.0
22,AAPL,2025-03-24 08:22:00+00:00,220.28,220.28,220.24,220.24,879.0,26.0,220.26,220.29899999999998,220.1935,False,False,0,,,,,1000.0
23,AAPL,2025-03-24 08:24:00+00:00,220.26,220.26,220.25,220.25,773.0,20.0,220.256875,220.28900000000004,220.21600000000004,False,False,0,,,,,1000.0
24,AAPL,2025-03-24 08:26:00+00:00,220.22,220.22,220.2,220.2,1132.0,39.0,220.213056,220.262,220.23000000000002,False,False,0,,,,,1000.0
25,AAPL,2025-03-24 08:28:00+00:00,220.13,220.13,220.13,220.13,419.0,13.0,220.13,220.22899999999998,220.23000000000002,False,True,-1,220.13,219.02935,220.57026,,1000.0
26,AAPL,2025-03-24 08:29:00+00:00,220.13,220.18,220.13,220.17,573.0,19.0,220.16,220.214,220.23450000000003,False,False,0,,,,,1000.0
27,AAPL,2025-03-24 08:30:00+00:00,220.25,220.3,220.25,220.3,2932.0,53.0,220.291956,220.22200000000004,220.24350000000004,False,False,0,,,,,1000.0
28,AAPL,2025-03-24 08:31:00+00:00,220.32,220.32,220.32,220.32,247.0,6.0,220.32,220.23200000000003,220.26,False,False,0,,,,,1000.0
29,AAPL,2025-03-24 08:32:00+00:00,220.37,220.37,220.37,220.37,536.0,14.0,220.37,220.23899999999998,220.269,False,False,0,,,,,1000.0
30,AAPL,2025-03-24 08:33:00+00:00,220.41,220.41,220.36,220.4,1111.0,24.0,220.391026,220.25799999999998,220.27749999999997,False,False,0,,,,,1000.0
31,AAPL,2025-03-24 08:34:00+00:00,220.36,220.36,220.14,220.14,1991.0,33.0,220.261106,220.252,220.2745,False,False,0,,,,,1000.0
32,AAPL,2025-03-24 08:37:00+00:00,220.17,220.21,220.1,220.1,1908.0,40.0,220.144727,220.238,220.26850000000005,False,False,0,,,,,1000.0
33,AAPL,2025-03-24 08:38:00+00:00,220.13,220.16,220.13,220.16,643.0,18.0,220.15,220.22899999999998,220.25900000000001,False,False,0,,,,,1000.0
34,AAPL,2025-03-24 08:39:00+00:00,220.22,220.29,220.22,220.29,1141.0,23.0,220.268803,220.238,220.25,False,False,0,,,,,1000.0
35,AAPL,2025-03-24 08:41:00+00:00,220.29,220.36,220.29,220.36,1952.0,28.0,220.31703,220.26100000000002,220.24499999999998,True,False,0,,,,,1000.0
36,AAPL,2025-03-24 08:42:00+00:00,220.35,220.35,220.35,220.35,304.0,11.0,220.35,220.279,220.24650000000003,False,False,0,,,,,1000.0
37,AAPL,2025-03-24 08:43:00+00:00,220.36,220.38,220.36,220.38,1394.0,29.0,220.376024,220.28699999999998,220.2545,False,False,0,,,,,1000.0
38,AAPL,2025-03-24 08:44:00+00:00,220.35,220.36,220.35,220.36,1419.0,45.0,220.355,220.291,220.26149999999998,False,False,0,,,,,1000.0
39,AAPL,2025-03-24 08:46:00+00:00,220.36,220.38,220.35,220.35,1955.0,39.0,220.356059,220.289,220.26400000000004,False,False,0,,,,,1000.0
40,AAPL,2025-03-24 08:47:00+00:00,220.35,220.35,220.35,220.35,1002.0,21.0,220.35,220.28399999999996,220.27100000000002,False,False,0,,,,,1000.0
41,AAPL,2025-03-24 08:48:00+00:00,220.38,220.38,220.38,220.38,500.0,18.0,220.38,220.308,220.27999999999997,False,False,0,,,,,1000.0
42,AAPL,2025-03-24 08:49:00+00:00,220.43,220.43,220.39,220.39,1176.0,16.0,220.398152,220.337,220.2875,False,False,0,,,,,1000.0
43,AAPL,2025-03-24 08:51:00+00:00,220.45,220.45,220.45,220.45,345.0,16.0,220.45,220.36599999999999,220.29749999999999,False,False,0,,,,,1000.0
44,AAPL,2025-03-24 08:52:00+00:00,220.46,220.46,220.46,220.46,309.0,20.0,220.46,220.38299999999998,220.3105,False,False,0,,,,,1000.0
45,AAPL,2025-03-24 08:53:00+00:00,220.41,220.47,220.41,220.46,1171.0,26.0,220.452862,220.39299999999997,220.327,False,False,0,,,,,1000.0
46,AAPL,2025-03-24 08:55:00+00:00,220.44,220.44,220.44,220.44,186.0,4.0,220.44,220.402,220.34049999999996,False,False,0,,,,,1000.0
47,AAPL,2025-03-24 08:56:00+00:00,220.44,220.44,220.39,220.39,1030.0,23.0,220.406513,220.40299999999996,220.34499999999997,False,False,0,,,,,1000.0
48,AAPL,2025-03-24 08:59:00+00:00,220.41,220.41,220.39,220.39,1177.0,16.0,220.394952,220.406,220.34849999999997,False,False,0,,,,,1000.0
49,AAPL,2025-03-24 09:00:00+00:00,220.43,220.43,220.43,220.43,534.0,28.0,220.43,220.414,220.3515,False,False,0,,,,,1000.0
50,AAPL,2025-03-24 09:01:00+00:00,220.39,220.39,220.35,220.35,5229.0,36.0,220.388708,220.414,220.34900000000002,False,False,0,,,,,1000.0
51,AAPL,2025-03-24 09:02:00+00:00,220.39,220.41,220.39,220.41,2975.0,25.0,220.404757,220.417,220.3625,False,False,0,,,,,1000.0
52,AAPL,2025-03-24 09:03:00+00:00,220.45,220.48,220.41,220.42,2702.0,23.0,220.42286,220.42,220.37849999999997,False,False,0,,,,,1000.0
53,AAPL,2025-03-24 09:04:00+00:00,220.4,220.41,220.35,220.41,5085.0,24.0,220.370098,220.416,220.391,False,False,0,,,,,1000.0
54,AAPL,2025-03-24 09:05:00+00:00,220.41,220.41,220.4,220.4,992.0,17.0,220.405699,220.41,220.39649999999997,False,False,0,,,,,1000.0
55,AAPL,2025-03-24 09:07:00+00:00,220.41,220.41,220.41,220.41,262.0,7.0,220.41,220.40500000000003,220.39900000000003,False,False,0,,,,,1000.0
56,AAPL,2025-03-24 09:09:00+00:00,220.43,220.57,220.43,220.52,2354.0,46.0,220.490802,220.413,220.40749999999997,False,False,0,,,,,1000.0
57,AAPL,2025-03-24 09:11:00+00:00,220.5,220.5,220.5,220.5,238.0,18.0,220.5,220.42400000000004,220.41349999999997,False,False,0,,,,,1000.0
58,AAPL,2025-03-24 09:15:00+00:00,220.5,220.5,220.5,220.5,455.0,13.0,220.5,220.435,220.4205,False,False,0,,,,,1000.0
59,AAPL,2025-03-24 09:16:00+00:00,220.49,220.49,220.48,220.49,1543.0,28.0,220.488392,220.44099999999997,220.42749999999995,False,False,0,,,,,1000.0
60,AAPL,2025-03-24 09:17:00+00:00,220.49,220.49,220.48,220.49,643.0,14.0,220.48763,220.455,220.4345,False,False,0,,,,,1000.0
61,AAPL,2025-03-24 09:19:00+00:00,220.54,220.59,220.54,220.59,800.0,42.0,220.57,220.473,220.445,False,False,0,,,,-0.00208967428337804,997.910325716622
62,AAPL,2025-03-24 09:21:00+00:00,220.64,220.65,220.64,220.65,659.0,17.0,220.645,220.496,220.458,False,False,0,,,,,997.910325716622
63,AAPL,2025-03-24 09:22:00+00:00,220.62,220.71,220.62,220.71,2431.0,63.0,220.659906,220.526,220.471,False,False,0,,,,,997.910325716622
64,AAPL,2025-03-24 09:23:00+00:00,220.71,220.72,220.68,220.72,1799.0,30.0,220.693478,220.558,220.484,False,False,0,,,,,997.910325716622
65,AAPL,2025-03-24 09:24:00+00:00,220.73,220.73,220.71,220.72,848.0,20.0,220.718333,220.58900000000003,220.49699999999999,False,False,0,,,,,997.910325716622
66,AAPL,2025-03-24 09:25:00+00:00,220.76,220.84,220.65,220.72,6634.0,83.0,220.741362,220.609,220.51100000000002,False,False,0,,,,,997.910325716622
67,AAPL,2025-03-24 09:26:00+00:00,220.79,220.84,220.78,220.78,2744.0,35.0,220.824299,220.637,220.5305,False,False,0,,,,,997.910325716622
68,AAPL,2025-03-24 09:27:00+00:00,220.74,220.74,220.72,220.72,812.0,10.0,220.723333,220.65900000000002,220.54699999999997,False,False,0,,,,,997.910325716622
