datetime,timestamp,open,high,low,close,volume
2025-04-01 12:30:00,1743510600000,0.17113,0.1712,0.17074,0.17075,1295829.0
2025-04-01 12:35:00,1743510900000,0.17075,0.17087,0.17042,0.17052,1180654.0
2025-04-01 12:40:00,1743511200000,0.17052,0.17062,0.1702,0.17037,2443824.0
2025-04-01 12:45:00,1743511500000,0.17038,0.17071,0.17016,0.17037,1870204.0
2025-04-01 12:50:00,1743511800000,0.17037,0.17103,0.17036,0.17102,1051194.0
2025-04-01 12:55:00,1743512100000,0.17102,0.17105,0.17077,0.17086,836829.0
2025-04-01 13:00:00,1743512400000,0.17086,0.17107,0.17066,0.17068,983454.0
2025-04-01 13:05:00,1743512700000,0.17068,0.17093,0.17048,0.17072,837445.0
2025-04-01 13:10:00,1743513000000,0.17073,0.17145,0.17069,0.17106,1276506.0
2025-04-01 13:15:00,1743513300000,0.17105,0.17105,0.17056,0.17081,914077.0
2025-04-01 13:20:00,1743513600000,0.17082,0.17125,0.17082,0.17113,640858.0
2025-04-01 13:25:00,1743513900000,0.17113,0.17137,0.1711,0.1713,945141.0
2025-04-01 13:30:00,1743514200000,0.17129,0.17179,0.17066,0.17108,4595161.0
2025-04-01 13:35:00,1743514500000,0.17107,0.17123,0.17029,0.17084,3469874.0
2025-04-01 13:40:00,1743514800000,0.17084,0.17139,0.17064,0.1712,1384129.0
2025-04-01 13:45:00,1743515100000,0.1712,0.17224,0.17097,0.17192,5629208.0
2025-04-01 13:50:00,1743515400000,0.17193,0.17208,0.17141,0.17149,2823974.0
2025-04-01 13:55:00,1743515700000,0.17149,0.17162,0.17086,0.17114,2907459.0
2025-04-01 14:00:00,1743516000000,0.17114,0.17132,0.16951,0.16979,14523750.0
2025-04-01 14:05:00,1743516300000,0.1698,0.16991,0.16851,0.169,13816545.0
2025-04-01 14:10:00,1743516600000,0.16901,0.16905,0.16772,0.16841,8607156.0
2025-04-01 14:15:00,1743516900000,0.16842,0.16886,0.1679,0.16808,5340768.0
2025-04-01 14:20:00,1743517200000,0.16807,0.16897,0.16724,0.16885,9460677.0
2025-04-01 14:25:00,1743517500000,0.16885,0.16932,0.16871,0.16904,2698472.0
2025-04-01 14:30:00,1743517800000,0.16903,0.16979,0.16895,0.1697,4136845.0
2025-04-01 14:35:00,1743518100000,0.1697,0.17059,0.16954,0.17022,4293644.0
2025-04-01 14:40:00,1743518400000,0.17021,0.17057,0.16997,0.17,3423215.0
2025-04-01 14:45:00,1743518700000,0.17,0.1701,0.16966,0.16994,2118520.0
2025-04-01 14:50:00,1743519000000,0.16994,0.17171,0.16994,0.17164,6903473.0
2025-04-01 14:55:00,1743519300000,0.17165,0.17187,0.17093,0.17128,5636377.0
2025-04-01 15:00:00,1743519600000,0.17128,0.17251,0.17127,0.17194,4918685.0
2025-04-01 15:05:00,1743519900000,0.17193,0.1723,0.17171,0.17206,4379007.0
2025-04-01 15:10:00,1743520200000,0.17205,0.17339,0.17178,0.17323,6670900.0
2025-04-01 15:15:00,1743520500000,0.17323,0.17457,0.17304,0.17343,17367434.0
2025-04-01 15:20:00,1743520800000,0.17342,0.1739,0.17275,0.17363,7668189.0
2025-04-01 15:25:00,1743521100000,0.17363,0.17386,0.173,0.17307,3920964.0
2025-04-01 15:30:00,1743521400000,0.17306,0.17365,0.17299,0.17347,3395497.0
2025-04-01 15:35:00,1743521700000,0.17347,0.1743,0.17327,0.17409,6393464.0
2025-04-01 15:40:00,1743522000000,0.17408,0.17436,0.17353,0.17436,2177736.0
2025-04-01 15:45:00,1743522300000,0.17435,0.175,0.1743,0.17476,7912935.0
2025-04-01 15:50:00,1743522600000,0.17476,0.17563,0.17475,0.17488,9259810.0
2025-04-01 15:55:00,1743522900000,0.17488,0.1752,0.17466,0.17493,3101307.0
2025-04-01 16:00:00,1743523200000,0.17493,0.17576,0.17483,0.17495,4397760.0
2025-04-01 16:05:00,1743523500000,0.17494,0.17505,0.17402,0.17453,5795639.0
2025-04-01 16:10:00,1743523800000,0.17454,0.17462,0.1737,0.17392,3333490.0
2025-04-01 16:15:00,1743524100000,0.17391,0.17431,0.17359,0.17403,3308270.0
2025-04-01 16:20:00,1743524400000,0.17403,0.17432,0.17323,0.17361,3654603.0
2025-04-01 16:25:00,1743524700000,0.17362,0.17366,0.17284,0.17313,5105404.0
2025-04-01 16:30:00,1743525000000,0.17313,0.1738,0.17283,0.1736,2517569.0
2025-04-01 16:35:00,1743525300000,0.17361,0.17389,0.17312,0.1733,1955710.0
2025-04-01 16:40:00,1743525600000,0.1733,0.17361,0.17305,0.17316,1286637.0
2025-04-01 16:45:00,1743525900000,0.17315,0.17367,0.17293,0.17354,1888193.0
2025-04-01 16:50:00,1743526200000,0.17354,0.17392,0.1735,0.17369,1190337.0
2025-04-01 16:55:00,1743526500000,0.17369,0.1739,0.17354,0.17355,1665172.0
2025-04-01 17:00:00,1743526800000,0.17355,0.17377,0.17338,0.17352,1663233.0
2025-04-01 17:05:00,1743527100000,0.17351,0.17351,0.1729,0.17318,1253413.0
2025-04-01 17:10:00,1743527400000,0.17317,0.17365,0.17301,0.17344,1052424.0
2025-04-01 17:15:00,1743527700000,0.17344,0.17356,0.17261,0.17271,2366582.0
2025-04-01 17:20:00,1743528000000,0.17272,0.17275,0.17244,0.17262,1741405.0
2025-04-01 17:25:00,1743528300000,0.17262,0.17293,0.17255,0.17269,717729.0
2025-04-01 17:30:00,1743528600000,0.17268,0.17326,0.17261,0.17265,1305851.0
2025-04-01 17:35:00,1743528900000,0.17265,0.17316,0.17261,0.173,742372.0
2025-04-01 17:40:00,1743529200000,0.17299,0.17332,0.17276,0.17279,2599898.0
2025-04-01 17:45:00,1743529500000,0.1728,0.17305,0.1727,0.17294,1355792.0
2025-04-01 17:50:00,1743529800000,0.17294,0.17321,0.17278,0.1728,890375.0
2025-04-01 17:55:00,1743530100000,0.1728,0.17282,0.17249,0.1726,929184.0
2025-04-01 18:00:00,1743530400000,0.17259,0.1726,0.17166,0.17189,2815587.0
2025-04-01 18:05:00,1743530700000,0.1719,0.17195,0.17149,0.17149,1511448.0
2025-04-01 18:10:00,1743531000000,0.1715,0.1719,0.17141,0.17179,1364232.0
2025-04-01 18:15:00,1743531300000,0.17178,0.17183,0.17123,0.17132,1003083.0
2025-04-01 18:20:00,1743531600000,0.17131,0.17151,0.17114,0.17122,1934144.0
2025-04-01 18:25:00,1743531900000,0.17121,0.17176,0.17121,0.17163,721866.0
2025-04-01 18:30:00,1743532200000,0.17162,0.17205,0.17153,0.17178,1141960.0
2025-04-01 18:35:00,1743532500000,0.17179,0.17214,0.17158,0.17177,926951.0
2025-04-01 18:40:00,1743532800000,0.17177,0.17211,0.17177,0.17198,1217934.0
2025-04-01 18:45:00,1743533100000,0.17198,0.17202,0.1714,0.17143,779932.0
2025-04-01 18:50:00,1743533400000,0.17142,0.17158,0.17128,0.17157,667953.0
2025-04-01 18:55:00,1743533700000,0.17156,0.17195,0.17154,0.17184,751416.0
2025-04-01 19:00:00,1743534000000,0.17183,0.17206,0.1717,0.17181,709367.0
2025-04-01 19:05:00,1743534300000,0.17181,0.17212,0.1718,0.17188,552048.0
