timestamp,open,high,low,close,volume
2025-05-25 08:40:00+00:00,2489.4965,2489.4965,2486.6545,2486.6545,0.0
2025-05-25 08:45:00+00:00,2485.065,2486.725,2478.3405,2480.036,0.0
2025-05-25 08:50:00+00:00,2478.74,2478.74,2465.64,2472.572,0.161964066
2025-05-25 08:55:00+00:00,2473.9585,2478.535,2473.8,2478.535,0.0
2025-05-25 09:00:00+00:00,2476.92,2483.667,2476.92,2483.2505,0.002651973
2025-05-25 09:05:00+00:00,2481.235,2481.235,2473.8745,2475.473,0.0
2025-05-25 09:10:00+00:00,2476.97,2483.9,2476.97,2482.4475,0.0
2025-05-25 09:15:00+00:00,2480.73,2480.73,2476.8775,2476.8775,0.0
2025-05-25 09:20:00+00:00,2475.715,2484.54,2475.715,2482.8885,0.001976358
2025-05-25 09:25:00+00:00,2484.075,2487.3735,2484.075,2484.34,0.0
2025-05-25 09:30:00+00:00,2485.34,2486.771,2483.15,2484.1225,0.0
2025-05-25 09:35:00+00:00,2483.53,2483.53,2477.82,2479.245,0.0
2025-05-25 09:40:00+00:00,2478.21,2486.1,2478.21,2484.36,0.0007
2025-05-25 09:45:00+00:00,2484.675,2492.0585,2484.675,2491.305,0.0
2025-05-25 09:50:00+00:00,2493.195,2496.2,2493.195,2494.15,0.0
2025-05-25 09:55:00+00:00,2496.245,2496.245,2496.245,2496.245,0.0
2025-05-25 10:00:00+00:00,2494.67,2499.75,2494.67,2497.3945,0.0014
2025-05-25 10:05:00+00:00,2496.55,2502.65,2493.3,2493.905,0.0014
2025-05-25 10:10:00+00:00,2495.93,2499.1775,2495.93,2497.635,0.0
2025-05-25 10:15:00+00:00,2497.2,2499.482,2497.2,2499.482,0.0
2025-05-25 10:20:00+00:00,2498.321,2499.6,2496.65,2496.65,0.001961098
2025-05-25 10:25:00+00:00,2495.45,2495.555,2494.858,2494.8585,0.0
2025-05-25 10:30:00+00:00,2495.598,2500.82,2495.598,2499.5405,0.0014
2025-05-25 10:35:00+00:00,2498.4865,2499.95,2498.376,2499.1435,0.0
2025-05-25 10:40:00+00:00,2499.96,2501.6315,2498.59,2498.59,0.0
2025-05-25 10:45:00+00:00,2497.38,2502.7,2497.38,2499.575,0.0014
2025-05-25 10:50:00+00:00,2501.0515,2501.0515,2493.9615,2495.505,0.001
2025-05-25 10:55:00+00:00,2494.2965,2494.3765,2489.76,2492.8535,0.0
2025-05-25 11:00:00+00:00,2492.044,2494.68,2490.99,2493.3585,0.0
2025-05-25 11:05:00+00:00,2494.92,2497.0535,2494.92,2497.0535,0.0
2025-05-25 11:10:00+00:00,2498.3605,2500.15,2497.8,2499.38,0.0009985
2025-05-25 11:20:00+00:00,2498.1075,2499.02,2495.653,2495.73,0.002961553
2025-05-25 11:25:00+00:00,2496.8555,2497.805,2496.8555,2497.805,0.0
2025-05-25 11:30:00+00:00,2496.01,2498.872,2493.0,2494.9,0.529
2025-05-25 11:35:00+00:00,2495.821,2495.821,2495.0,2495.0,0.0
2025-05-25 11:40:00+00:00,2496.395,2496.395,2494.5745,2494.5745,0.0
2025-05-25 11:45:00+00:00,2492.96,2497.094,2492.96,2496.3,0.019336201
2025-05-25 11:50:00+00:00,2497.15,2497.15,2497.15,2497.15,0.0
2025-05-25 11:55:00+00:00,2498.27,2498.27,2498.27,2498.27,0.0
2025-05-25 12:00:00+00:00,2498.75,2498.75,2497.105,2497.105,0.0
2025-05-25 12:05:00+00:00,2498.172,2498.8,2497.57,2498.8,0.0
2025-05-25 12:10:00+00:00,2497.65,2498.6,2497.65,2498.6,0.0
2025-05-25 12:15:00+00:00,2499.0,2515.005,2499.0,2510.489,0.0009975
2025-05-25 12:20:00+00:00,2511.5625,2513.535,2509.234,2511.445,0.00195165
2025-05-25 12:25:00+00:00,2510.1,2515.793,2510.1,2515.793,0.1
2025-05-25 12:30:00+00:00,2514.75,2517.95,2514.5435,2514.5435,0.0
2025-05-25 12:35:00+00:00,2513.85,2515.98,2513.505,2515.98,0.0
2025-05-25 12:40:00+00:00,2517.0405,2518.35,2514.33,2514.33,0.0
