,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA21,Position,Returns,Strategy
14,BTC/USD,2023-01-14 06:00:00+00:00,20826.92,21170.88,20224.24,20736.04,10596.747113762,188612.0,20753.5085609141,,0,-0.0043640613378927995,-0.0
15,BTC/USD,2023-01-15 06:00:00+00:00,20734.08,21420.56,20558.86,21175.0,6440.117066462,133996.0,20892.9667198177,,0,0.021168940646333567,0.0
16,BTC/USD,2023-01-16 06:00:00+00:00,21175.01,21446.81,19800.0,21144.04,6756.985639889,149650.0,21075.9506213222,,0,-0.0014621015348287303,-0.0
17,BTC/USD,2023-01-17 06:00:00+00:00,21144.89,21547.99,21030.0,21298.05,4787.181051652,116767.0,21228.9076740063,,0,0.007283849254920094,0.0
18,BTC/USD,2023-01-18 06:00:00+00:00,21292.67,21620.0,20373.11,20807.07,6518.014826508,153782.0,20967.9307088279,,0,-0.02305281469430298,-0.0
19,BTC/USD,2023-01-19 06:00:00+00:00,20809.0,21200.0,20644.4,20975.45,4359.048231743,86526.0,20948.5798534734,,0,0.00809244165564893,0.0
20,BTC/USD,2023-01-20 06:00:00+00:00,20974.85,22798.4,20861.95,22566.09,7433.250205117,141639.0,21861.1226348542,18688.13142857143,1,0.07583341477775196,0.0
21,BTC/USD,2023-01-21 06:00:00+00:00,22570.6,23349.81,22549.27,22871.9,8475.329693194,177009.0,22974.9440911487,18990.49380952381,1,0.013551749549877812,0.013551749549877812
22,BTC/USD,2023-01-22 06:00:00+00:00,22867.27,23071.60533994,22290.04,22715.61,5343.036867333,114649.0,22726.7601255688,19279.67619047619,1,-0.006833275766333413,-0.006833275766333413
23,BTC/USD,2023-01-23 06:00:00+00:00,22719.69,23164.32,22436.55,23113.1,5717.75410641,129390.0,22902.0836738053,19584.165714285715,1,0.01749853955055558,0.01749853955055558
24,BTC/USD,2023-01-24 06:00:00+00:00,23110.16,23148.86,22299.0,22674.1,6134.525416188,146361.0,22804.5735012552,19861.475714285712,1,-0.01899355776594225,-0.01899355776594225
25,BTC/USD,2023-01-25 06:00:00+00:00,22671.72,23815.12,22340.48,23147.84,7440.383848797,161650.0,22887.1553008849,20161.82523809524,1,0.020893442297599485,0.020893442297599485
26,BTC/USD,2023-01-26 06:00:00+00:00,23149.46,23246.84,22555.0,23035.01,4695.582809722,117647.0,22974.0926829125,20458.565238095238,1,-0.0048743208869597154,-0.0048743208869597154
27,BTC/USD,2023-01-27 06:00:00+00:00,23038.98,23506.3,22843.07,23065.86,5122.770376987,112984.0,23089.6806840782,20750.91,1,0.0013392657524351481,0.0013392657524351481
28,BTC/USD,2023-01-28 06:00:00+00:00,23065.95,23459.2,22883.23,23252.71,2586.273837999,64372.0,23111.8923027082,21051.705714285716,1,0.008100716816975329,0.008100716816975329
29,BTC/USD,2023-01-29 06:00:00+00:00,23256.07,23964.19,23158.87,23733.59,4727.329275303,104432.0,23635.0107095649,21362.987619047617,1,0.020680600239713964,0.020680600239713964
30,BTC/USD,2023-01-30 06:00:00+00:00,23737.25,23754.5148,22502.2,22760.84,5542.740309703,131375.0,23003.1654588548,21626.771904761907,1,-0.040986214053583936,-0.040986214053583936
31,BTC/USD,2023-01-31 06:00:00+00:00,22762.82,23297.99,22742.52,23117.08,4163.439135897,92982.0,23056.8166594368,21898.874761904764,1,0.015651443444090862,0.015651443444090862
32,BTC/USD,2023-02-01 06:00:00+00:00,23116.63,24250.0,22799.97,23815.12,8181.275352636,152975.0,23528.9668555035,22172.00523809524,1,0.03019585518586254,0.03019585518586254
33,BTC/USD,2023-02-02 06:00:00+00:00,23815.1,24143.55,23417.71,23530.57,7416.70379517,148146.0,23754.4381230093,22398.190476190477,1,-0.011948291673525069,-0.011948291673525069
34,BTC/USD,2023-02-03 06:00:00+00:00,23528.0,23725.0,23217.28,23313.78,4725.713284184,103491.0,23459.0707024243,22516.611904761903,1,-0.009213121484095033,-0.009213121484095033
35,BTC/USD,2023-02-04 06:00:00+00:00,23311.37,23588.17,23242.44,23391.58,3056.415061512,79084.0,23386.8417087073,22643.06619047619,1,0.0033370821891602898,0.0033370821891602898
36,BTC/USD,2023-02-05 06:00:00+00:00,23388.66,23436.93,22759.78,22900.14,4233.794640688,91260.0,23051.8678874943,22725.215714285714,1,-0.021009269147274412,-0.021009269147274412
37,BTC/USD,2023-02-06 06:00:00+00:00,23766.0,24524.0,17020.33,22938.35,3528.945718638,76279.0,22925.40123618,22810.65904761905,1,0.0016685487512302366,0.0016685487512302366
38,BTC/USD,2023-02-07 06:00:00+00:00,22938.96,23444.91,22770.0,23227.3,6680.337960752,139277.0,23102.6945005755,22902.528095238093,1,0.012596808401650561,0.012596808401650561
39,BTC/USD,2023-02-08 06:00:00+00:00,23227.02,23600.0,22029.0,22602.55,7774.338633646,173185.0,22859.4270360347,22988.027142857143,-1,-0.02689722869209943,-0.02689722869209943
40,BTC/USD,2023-02-09 06:00:00+00:00,22604.8,23604.0,21567.0,21806.29,8019.140837317,156983.0,22228.1935349638,23027.590952380953,-1,-0.03522876843541978,0.03522876843541978
41,BTC/USD,2023-02-10 06:00:00+00:00,21801.41,21934.29,21477.04,21678.62,6348.70854886,126406.0,21728.667370525,22985.330476190476,-1,-0.00585473273995718,0.00585473273995718
42,BTC/USD,2023-02-11 06:00:00+00:00,21678.62,21909.0,21620.6,21803.34,1940.978986591,38267.0,21750.664401112,22934.446666666667,-1,0.005753133732682381,-0.005753133732682381
43,BTC/USD,2023-02-12 06:00:00+00:00,21808.05,22092.46,21636.1,21842.45,4952.118946581,88768.0,21837.7474850841,22892.867619047618,-1,0.0017937618731809213,-0.0017937618731809213
44,BTC/USD,2023-02-13 06:00:00+00:00,21842.45,21902.6,21369.2,21745.88,6259.650652975,124962.0,21660.7931703981,22827.761904761905,-1,-0.004421207327932497,0.004421207327932497
45,BTC/USD,2023-02-14 06:00:00+00:00,21745.86,22329.67,21566.47,22139.52,8308.415033808,130151.0,22013.5388030903,22802.305714285718,-1,0.018101819747004866,-0.018101819747004866
46,BTC/USD,2023-02-15 06:00:00+00:00,22138.39,24902.49,22098.53,24683.0,11871.5425985,214793.0,23554.2425444104,22875.408571428572,1,0.11488415286329601,-0.11488415286329601
47,BTC/USD,2023-02-16 06:00:00+00:00,24684.7,25220.0,23328.15,23711.18,6593.755099845,182223.0,24269.774365347,22907.60714285714,1,-0.03937203743467166,-0.03937203743467166
48,BTC/USD,2023-02-17 06:00:00+00:00,23711.17,25014.65,23546.5,24639.12,7481.796878732,211612.0,24234.7091941481,22982.524285714288,1,0.039135125286889894,0.039135125286889894
49,BTC/USD,2023-02-18 06:00:00+00:00,24639.17,24877.44,23329.0,24762.47,2095.196848584,67479.0,24669.4761155266,23054.417619047617,1,0.005006266457568298,0.005006266457568298
50,BTC/USD,2023-02-19 06:00:00+00:00,24757.54,25199.59,23851.31,24491.96,6983.565998724,150615.0,24537.8579769237,23090.530476190477,1,-0.010924192941980437,-0.010924192941980437
51,BTC/USD,2023-02-20 06:00:00+00:00,24494.27,25100.0,24379.0,24952.4,5183.960612938,128405.0,24847.470084275,23194.890476190478,1,0.018799638738590252,0.018799638738590252
52,BTC/USD,2023-02-21 06:00:00+00:00,24945.5,25250.0,23864.51,24105.82,10395.017621316,234359.0,24519.7221294667,23241.97333333333,1,-0.03392779852839811,-0.03392779852839811
53,BTC/USD,2023-02-22 06:00:00+00:00,24104.67,24602.09,23578.95,24395.26,9480.860921822,177470.0,24016.2665584852,23269.599047619045,1,0.012007058876238208,0.012007058876238208
54,BTC/USD,2023-02-23 06:00:00+00:00,24399.31,24492.01,23615.0,23901.69,8129.454497403,178239.0,24009.1824517639,23287.27142857143,1,-0.020232209043888005,-0.020232209043888005
55,BTC/USD,2023-02-24 06:00:00+00:00,23904.38,24012.8,22852.34,23046.99,7898.405163543,177823.0,23378.8278737144,23274.56714285714,-1,-0.03575897771245451,-0.03575897771245451
56,BTC/USD,2023-02-25 06:00:00+00:00,23042.99,23259.27,22766.0,23134.99,3870.168226649,74401.0,23038.5340771676,23262.34857142857,-1,0.0038182860321456236,-0.0038182860321456236
57,BTC/USD,2023-02-26 06:00:00+00:00,23132.03,23684.52,23098.93,23389.35,4710.406916611,90182.0,23417.5728942537,23285.644285714287,1,0.010994601683423921,-0.010994601683423921
58,BTC/USD,2023-02-27 06:00:00+00:00,23389.56,23896.6,23111.9,23370.0,6259.589357335,116499.0,23463.8455032474,23306.199047619048,1,-0.0008272996043070524,-0.0008272996043070524
59,BTC/USD,2023-02-28 06:00:00+00:00,23791.25,23822.33,23634.17,23694.0,346.084164083,7575.0,23709.7747482941,23328.422857142858,1,0.013863928112965329,0.013863928112965329
60,BTC/USD,2023-03-01 06:00:00+00:00,23694.0,23994.59,23307.21,23452.86,5905.611791537,130662.0,23645.2838765901,23368.91380952381,1,-0.01017726006583941,-0.01017726006583941
61,BTC/USD,2023-03-02 06:00:00+00:00,23454.26,23564.22,22001.0,22351.67,7587.048899941,145955.0,23003.2375405261,23394.884285714284,-1,-0.04695333532882562,-0.04695333532882562
62,BTC/USD,2023-03-03 06:00:00+00:00,22347.96,22494.06,22149.87,22330.25,4906.281461782,92731.0,22346.8499534151,23425.914285714283,-1,-0.0009583176559065931,0.0009583176559065931
63,BTC/USD,2023-03-04 06:00:00+00:00,22327.95,22653.31,22159.79,22423.3,3446.367280007,66146.0,22380.6104469645,23455.436190476194,-1,0.004166993204285596,-0.004166993204285596
64,BTC/USD,2023-03-05 06:00:00+00:00,22423.21,22553.33,22267.58,22373.17,3129.253301896,56026.0,22410.3082444619,23480.70857142857,-1,-0.002235620983530584,0.002235620983530584
65,BTC/USD,2023-03-06 06:00:00+00:00,22373.04,22603.25,22319.0,22460.1,3227.629137511,48190.0,22445.2167753226,23514.719047619048,-1,0.003885457447469376,-0.003885457447469376
66,BTC/USD,2023-03-07 06:00:00+00:00,22459.02,22481.2,21851.64,21946.62,7557.162302822,105538.0,22190.3900277901,23505.533333333333,-1,-0.022861875058436953,0.022861875058436953
67,BTC/USD,2023-03-08 06:00:00+00:00,21953.91,22220.77,20254.251199652,21731.355,5884.401787109,93469.0,21956.7172160043,23364.97880952381,-1,-0.009808571889429851,0.009808571889429851
68,BTC/USD,2023-03-09 06:00:00+00:00,21733.01,22103.066944652,19775.37,19990.94,10740.337868168,206220.0,20642.8770929439,23187.824523809522,-1,-0.08008773498017041,0.08008773498017041
69,BTC/USD,2023-03-10 06:00:00+00:00,19991.3,21474.480199652,18700.7425,20442.2,13747.638194898,277024.0,20063.9013759393,22987.97119047619,-1,0.022573225671229213,-0.022573225671229213
70,BTC/USD,2023-03-11 06:00:00+00:00,20449.21,21406.485199652,19900.0,20542.763585,5677.206728908,152418.0,20384.1557646058,22787.032789761906,-1,0.004919411071215407,-0.004919411071215407
71,BTC/USD,2023-03-12 06:00:00+00:00,20540.16,23491.85,20439.99,22393.38,9541.141897172,276799.0,21539.5922565302,22687.10040880952,-1,0.0900860493936313,-0.0900860493936313
72,BTC/USD,2023-03-13 05:00:00+00:00,22388.9,24577.92,21579.345095,24539.36,11039.890532825,339762.0,23432.7957745446,22667.43183738095,1,0.09583100005448042,-0.09583100005448042
73,BTC/USD,2023-03-14 05:00:00+00:00,24540.48,26476.04,24000.0,24908.77791418,16448.397662148,397836.0,25065.0546346827,22705.66792853238,1,0.015054097343206951,0.015054097343206951
74,BTC/USD,2023-03-15 05:00:00+00:00,24911.09,25307.014951875,23930.0,24345.77,17454.016425822,397565.0,24569.7712398497,22703.311261865714,1,-0.022602791518707588,-0.022602791518707588
75,BTC/USD,2023-03-16 05:00:00+00:00,24349.16,25964.0,24309.4,25734.1071365,15346.647827864,338912.0,24979.8043620084,22790.569220746667,1,0.057025805160403564,0.057025805160403564
76,BTC/USD,2023-03-17 05:00:00+00:00,25733.0,27830.0,25671.19,27406.44,12347.198428524,320552.0,26777.7024412055,22998.162077889527,1,0.06498507426853939,0.06498507426853939
77,BTC/USD,2023-03-18 05:00:00+00:00,27404.68,27689.27,26657.61,27204.69,6952.487525414,192406.0,27308.0638156303,23191.95731598476,1,-0.007361408486472487,-0.007361408486472487
78,BTC/USD,2023-03-19 05:00:00+00:00,27204.38,28464.43,26905.0,27543.98,11519.710381213,293606.0,27831.7857204305,23389.796839794286,1,0.012471746599575395,0.012471746599575395
79,BTC/USD,2023-03-20 05:00:00+00:00,27539.12,28560.8,27452.72,28011.82,12962.542452951,330557.0,28008.0684430722,23610.835887413334,1,0.016985199669764528,0.016985199669764528
80,BTC/USD,2023-03-21 05:00:00+00:00,28014.26,28500.0,27406.01,28295.6755768,10486.456522577,273102.0,28100.369854677,23829.963295832382,1,0.010133421419957767,0.010133421419957767
81,BTC/USD,2023-03-22 05:00:00+00:00,28293.67,28900.0,26685.0,27357.989935,17223.586996967,571893.0,27890.0359663502,24015.921864165713,1,-0.033138832089551484,-0.033138832089551484
82,BTC/USD,2023-03-23 05:00:00+00:00,27360.42,28772.68,27350.20261315,28190.806758,14647.854501316,516449.0,28088.6952468996,24293.975995499044,1,0.030441447817573186,0.030441447817573186
83,BTC/USD,2023-03-24 05:00:00+00:00,28188.76,28389.461,27084.27,27581.246515,11763.704840976,369643.0,27837.4454435879,24544.023448594286,1,-0.021622660473418986,-0.021622660473418986
84,BTC/USD,2023-03-25 05:00:00+00:00,27582.0,27850.0,27180.0,27543.78,7272.502520506,193385.0,27507.418021398,24787.855829546665,1,-0.001358405428834586,-0.001358405428834586
85,BTC/USD,2023-03-26 05:00:00+00:00,27546.35,28238.07,27497.32703453,27948.1502189,8621.628078325,252241.0,27874.8730830735,25053.331078065716,1,0.014680999445246812,0.014680999445246812
86,BTC/USD,2023-03-27 05:00:00+00:00,27947.8,28010.46,26540.0,26979.59325,12171.85436584,385206.0,27302.853837987,25268.54504235143,1,-0.03465549459674111,-0.03465549459674111
87,BTC/USD,2023-03-28 05:00:00+00:00,26992.83,27622.24,26651.0,27580.86,10803.710470048,415987.0,27140.6829783039,25536.842185208574,1,0.022285982758468714,0.022285982758468714
88,BTC/USD,2023-03-29 05:00:00+00:00,27580.86,29189.54,27511.29946356,28594.44,17067.696131087,580821.0,28415.666427912,25863.655756637145,1,0.036749397952057894,0.036749397952057894
89,BTC/USD,2023-03-30 05:00:00+00:00,28599.03,28788.152505835,27719.21,28193.24,13820.118959018,339968.0,28282.5004304827,26254.241470922854,1,-0.014030699674482117,-0.014030699674482117
90,BTC/USD,2023-03-31 05:00:00+00:00,28195.37,28824.8,27529.53,28588.44,10207.674663307,238493.0,28264.4919799011,26642.15766139905,1,0.014017544631266032,0.014017544631266032
91,BTC/USD,2023-04-01 05:00:00+00:00,28588.76,28606.26333293,28257.82,28401.2812,3839.809716387,91885.0,28443.3916990163,27016.372785922857,1,-0.006546660118565306,-0.006546660118565306
92,BTC/USD,2023-04-02 05:00:00+00:00,28404.32,28508.68,27579.82,27724.34035292,6978.602090308,144643.0,28061.948806823,27270.228040823808,1,-0.023834870064946223,-0.023834870064946223
93,BTC/USD,2023-04-03 05:00:00+00:00,27723.97,28522.0,27300.0,27832.8676,14204.077005378,234556.0,28033.0461252586,27427.061736061904,1,0.003914511425645806,0.003914511425645806
94,BTC/USD,2023-04-04 05:00:00+00:00,27827.33,28786.01,27823.59,28509.5934973,10373.670852336,168045.0,28262.4459735338,27598.529144781907,1,0.02431391213530576,0.02431391213530576
95,BTC/USD,2023-04-05 05:00:00+00:00,28518.32,28752.57,27861.98,28089.42,8960.797699489,150045.0,28228.5606624859,27776.79819240095,1,-0.014737968724099604,-0.014737968724099604
96,BTC/USD,2023-04-06 05:00:00+00:00,28086.02,28233.965,27724.33,28037.78103173,6362.072835926,105845.0,27997.279096868,27886.496949316668,1,-0.0018383778757268265,-0.0018383778757268265
